epoch,attack_mode,train_adv_loss,train_adv_acc,free_gradient_cosine,free_gradient_sign_agreement,free_prediction_disagreement,free_attack_loss_gain,free_boundary_fraction,free_delta_linf,control_gradient_participation_ratio,control_gradient_entropy,epoch_seconds,lr_start,lr_end,batches_processed,epoch_completed,val_clean_acc,val_pgd10_acc,intervention_triggered,trigger_epoch,trigger_global_step,rolled_back_to_global_step,abandoned_fgsm_batches,abandoned_fgsm_seconds,total_training_seconds,clean_eval_seconds,pgd_monitor_seconds,pgd_monitor_used_for_trigger
1,fgsm_zero,2.2238513000276354,0.1635111111217075,0.693975338768959,0.7273843146324158,0.21764444443914627,0.20053215172290803,0.9167180323812697,0.03137257694602013,0.1214848122186131,0.7891767785496182,34.96690070000477,0.0,0.019943181818181818,352,1,0.3132,0.22421875,0,,,,0,0.0,34.96690070000477,8.480223899940029,11.690910700010136,0
2,fgsm_zero,1.9955258898205228,0.24362222224341498,0.9006637769593133,0.8383831648614671,0.21213333332803513,0.2517575047281053,0.9174960350884331,0.03137257695198059,0.0594502075791359,0.729733019012875,34.298622800037265,0.02,0.039943181818181815,352,1,0.4024,0.25,0,,,,0,0.0,34.298622800037265,8.795839000027627,11.745616700034589,0
3,fgsm_zero,1.9123713931401571,0.27353333333333335,0.8987294720861647,0.845135278002421,0.22766666666931576,0.29540040391816036,0.9157616299629211,0.03137257695198059,0.05402191643449995,0.7238826386769612,34.09234510001261,0.04,0.05994318181818181,352,1,0.4044,0.28125,0,,,,0,0.0,34.09234510001261,9.342343299998902,12.02233890001662,0
4,fgsm_zero,1.8324417667388917,0.3031333333386315,0.8854977285279167,0.8384960923936632,0.2493111111031638,0.3304567904525333,0.9155224672529433,0.03137257695198059,0.05264013490809335,0.7259531966209412,34.68819229991641,0.06,0.07994318181818182,352,1,0.5172,0.32578125,0,,,,0,0.0,34.68819229991641,8.866910299984738,11.836246500024572,0
5,fgsm_zero,1.7638187347624037,0.32975555557145014,0.870174987634023,0.8303445001072354,0.25868888889153796,0.3565089895089467,0.9159163120163811,0.03137257695198059,0.05254260732796457,0.7280107330004374,34.319110100041144,0.08,0.0999431818181818,352,1,0.4548,0.29921875,0,,,,0,0.0,34.319110100041144,9.284551399992779,12.092840100056492,0
6,fgsm_zero,1.7131733533859252,0.3459111111164093,0.8535162922965156,0.8215687193552653,0.26982222221692403,0.3747780168533325,0.9140884181870355,0.03137257695198059,0.051464529263310965,0.7272043746736314,32.78678119997494,0.09999999999999999,0.11994318181818181,352,1,0.5508,0.32421875,0,,,,0,0.0,32.78678119997494,8.058248699991964,11.044045299990103,0
7,fgsm_zero,1.6731619641621907,0.3597555555449592,0.8415149667951796,0.8166024348894755,0.27586666667196486,0.3860091566933526,0.9125265400886535,0.03137257695198059,0.04886063665681415,0.7218591482056512,32.33975859999191,0.12,0.13994318181818183,352,1,0.5794,0.32578125,0,,,,0,0.0,32.33975859999191,8.041170599986799,11.178498400026001,0
8,fgsm_zero,1.647186331515842,0.3704666666507721,0.8309688486735026,0.8118460971832275,0.28615555556085376,0.39834301851590476,0.9101536502944099,0.03137257695198059,0.04711795504887899,0.7184383985413445,32.07318880001549,0.13999999999999999,0.15994318181818182,352,1,0.6016,0.3515625,0,,,,0,0.0,32.07318880001549,8.722719799960032,11.90284450002946,0
9,fgsm_zero,1.6307377655029296,0.37528888889948525,0.8206872585508559,0.8085525447951423,0.2878888889047835,0.4064596021069421,0.9093052507506476,0.03137257695198059,0.04449126217431492,0.7132374306572808,33.101549400016665,0.16,0.17994318181818184,352,1,0.5752,0.33671875,0,,,,0,0.0,33.101549400016665,8.68499179999344,11.709456300013699,0
10,fgsm_zero,1.6225595048268635,0.38186666667726304,0.8110826094203525,0.8051882285224067,0.28866666667196483,0.4101502087169223,0.9078163759973314,0.03137257695198059,0.042650001530514826,0.7087946124500698,33.24577040004078,0.18,0.19994318181818183,352,1,0.6178,0.35078125,0,,,,0,0.0,33.24577040004078,8.547278900048696,11.913542899885215,0
11,fgsm_zero,1.619643321694268,0.38122222224871316,0.8043521008067661,0.8019360525343153,0.2869555555608537,0.41246395457055834,0.9068354008780586,0.03137257695198059,0.04187418942782614,0.7068572448942396,32.49514879996423,0.19999999999999998,0.21994318181818182,352,1,0.5834,0.32734375,0,,,,0,0.0,32.49514879996423,8.499233899987303,11.468164499965496,0
